Method,Precision,Recall,Specificity,F1_Score,F0.5_Score,MCC,Balanced_Acc,Edge_Count_Acc,TP_FP_Ratio,Avg_Predicted,Avg_GT,Total_TP,Total_FP
CCM-ECCM,0.7007575757575758,0.873015873015873,0.834368530020704,0.7673076923076924,0.7238500999913051,0.6788219092609529,0.8536922015182884,0.6587301587301587,2.6875,8.75,7.0,24,11
PC,0.7030677655677655,1.0,0.8276397515527951,0.8200549450549451,0.7448331696639405,0.762135067958569,0.9138198757763975,0.5357142857142857,3.0416666666666665,10.25,7.0,28,13
Granger,0.7224747474747474,1.0,0.8234989648033126,0.8320626934984521,0.7616516373991457,0.7711061153231185,0.9117494824016563,0.5674603174603174,3.925,9.75,7.0,28,11
TE,0.4267857142857143,1.0,0.4658385093167702,0.5962962962962963,0.4813990854035348,0.44544002244261327,0.7329192546583851,-0.38095238095238093,0.7596153846153846,16.75,7.0,28,39
