x1,x2,lag,te_value,method,dataset
Y4,Y5,4,0.10985965340700732,TransferEntropy,dataset4_add_x4a
Y4,Y5,5,0.08189225804878207,TransferEntropy,dataset4_add_x4a
Y4,Y5,6,0.07128322784619594,TransferEntropy,dataset4_add_x4a
Y4,Y5,7,0.06835867848292669,TransferEntropy,dataset4_add_x4a
Y4,Y4a,3,0.07342228539720279,TransferEntropy,dataset4_add_x4a
Y5,Y3,1,0.10772991749149673,TransferEntropy,dataset4_add_x4a
Y4a,Y2,9,0.0701941479213165,TransferEntropy,dataset4_add_x4a
Y4a,Y2,10,0.10478459973826006,TransferEntropy,dataset4_add_x4a
Y4a,Y2,11,0.11127733419612296,TransferEntropy,dataset4_add_x4a
Y4a,Y2,12,0.09737184102133106,TransferEntropy,dataset4_add_x4a
Y4a,Y3,12,0.06328937779532859,TransferEntropy,dataset4_add_x4a
Y4a,Y4,4,0.06307971192997366,TransferEntropy,dataset4_add_x4a
Y4a,Y5,1,0.2269645638055669,TransferEntropy,dataset4_add_x4a
Y4a,Y5,2,0.192356690497434,TransferEntropy,dataset4_add_x4a
Y4a,Y5,3,0.1539677722245682,TransferEntropy,dataset4_add_x4a
Y4a,Y5,4,0.1257206457426314,TransferEntropy,dataset4_add_x4a
Y4a,Y5,5,0.07633027324300845,TransferEntropy,dataset4_add_x4a
Y4a,Y5,12,0.07231897096427552,TransferEntropy,dataset4_add_x4a
