x1,x2,lag,correlation,p_value,abs_correlation,method,dataset
Y0,Y1,4,0.10617320512518211,0.0007906364797781237,0.10617320512518211,PC,dataset3_add_x0
Y0,Y1,5,0.10167049869048092,0.0013211336240774394,0.10167049869048092,PC,dataset3_add_x0
Y0,Y2,1,0.481503262805416,4.117207949249108e-59,0.481503262805416,PC,dataset3_add_x0
Y0,Y2,2,0.5194493537078789,4.69715473709383e-70,0.5194493537078789,PC,dataset3_add_x0
Y0,Y2,3,0.4976416636957581,1.6764818740143267e-63,0.4976416636957581,PC,dataset3_add_x0
Y0,Y2,4,0.44358298579240296,2.8903621148361776e-49,0.44358298579240296,PC,dataset3_add_x0
Y0,Y2,5,0.3927253686592626,4.862293806145824e-38,0.3927253686592626,PC,dataset3_add_x0
Y0,Y2,6,0.35585893806468977,4.811702513558898e-31,0.35585893806468977,PC,dataset3_add_x0
Y0,Y2,7,0.3119355829734429,7.527136697901696e-24,0.3119355829734429,PC,dataset3_add_x0
Y0,Y2,8,0.2643901382989732,2.499214860538498e-17,0.2643901382989732,PC,dataset3_add_x0
Y0,Y2,9,0.22971046231532521,2.474187030435059e-13,0.22971046231532521,PC,dataset3_add_x0
Y0,Y2,10,0.19926435932319,2.527034925964418e-10,0.19926435932319,PC,dataset3_add_x0
Y0,Y2,11,0.18827106598486956,2.420009050828273e-09,0.18827106598486956,PC,dataset3_add_x0
Y0,Y2,12,0.1722299731603983,5.107810526123513e-08,0.1722299731603983,PC,dataset3_add_x0
Y0,Y3,1,-0.2355014112601765,4.6828963901578607e-14,0.2355014112601765,PC,dataset3_add_x0
Y0,Y3,2,-0.3950671313560953,1.2654597974157216e-38,0.3950671313560953,PC,dataset3_add_x0
Y0,Y3,3,-0.42597969101271693,3.2306131465878896e-45,0.42597969101271693,PC,dataset3_add_x0
Y0,Y3,4,-0.400674917313514,1.0616904659863661e-39,0.400674917313514,PC,dataset3_add_x0
Y0,Y3,5,-0.34105250392019765,1.597858743061661e-28,0.34105250392019765,PC,dataset3_add_x0
Y0,Y3,6,-0.30990206978939305,1.44048634785641e-23,0.30990206978939305,PC,dataset3_add_x0
Y0,Y3,7,-0.2811413906725219,1.7025586945760073e-19,0.2811413906725219,PC,dataset3_add_x0
Y0,Y3,8,-0.2504594469658094,1.1803559246145078e-15,0.2504594469658094,PC,dataset3_add_x0
Y0,Y3,9,-0.23371580224124586,9.22434425294684e-14,0.23371580224124586,PC,dataset3_add_x0
Y0,Y3,10,-0.2103040981401654,2.3316299460904164e-11,0.2103040981401654,PC,dataset3_add_x0
Y0,Y3,11,-0.1877241177344942,2.695921044897628e-09,0.1877241177344942,PC,dataset3_add_x0
Y0,Y3,12,-0.15621171359537606,8.046972862424085e-07,0.15621171359537606,PC,dataset3_add_x0
Y0,Y5,1,-0.22819193548805378,2.878815541175055e-13,0.22819193548805378,PC,dataset3_add_x0
Y0,Y5,2,-0.30708358388011725,3.0867260084529343e-23,0.30708358388011725,PC,dataset3_add_x0
Y0,Y5,3,-0.3992216188303087,1.942391830553855e-39,0.3992216188303087,PC,dataset3_add_x0
Y0,Y5,4,-0.37858076872809554,2.706528203829741e-35,0.37858076872809554,PC,dataset3_add_x0
Y0,Y5,5,-0.3657662595213996,7.388252499898947e-33,0.3657662595213996,PC,dataset3_add_x0
Y0,Y5,6,-0.3194255537116186,5.160169254784776e-25,0.3194255537116186,PC,dataset3_add_x0
Y0,Y5,7,-0.31270578057122883,5.765819628642683e-24,0.31270578057122883,PC,dataset3_add_x0
Y0,Y5,8,-0.2815068799648776,1.5872230184858066e-19,0.2815068799648776,PC,dataset3_add_x0
Y0,Y5,9,-0.25669428753324186,2.239661417975324e-16,0.25669428753324186,PC,dataset3_add_x0
Y0,Y5,10,-0.2124225595563119,1.4533558577710363e-11,0.2124225595563119,PC,dataset3_add_x0
Y0,Y5,11,-0.17766833840112045,1.853748203234252e-08,0.17766833840112045,PC,dataset3_add_x0
Y0,Y5,12,-0.14928311781763692,2.44301868178939e-06,0.14928311781763692,PC,dataset3_add_x0
Y1,Y3,1,0.2878459996024348,1.6364641161841125e-20,0.2878459996024348,PC,dataset3_add_x0
Y1,Y3,2,0.1717353176949129,4.784957414301565e-08,0.1717353176949129,PC,dataset3_add_x0
Y1,Y3,3,0.10382230352530611,0.0010271442015193746,0.10382230352530611,PC,dataset3_add_x0
Y1,Y5,2,0.12744689685130367,5.399576830409517e-05,0.12744689685130367,PC,dataset3_add_x0
Y2,Y3,1,-0.5955187596333553,6.490073518688511e-97,0.5955187596333553,PC,dataset3_add_x0
Y2,Y3,2,-0.5030134306822263,4.045650092054692e-65,0.5030134306822263,PC,dataset3_add_x0
Y2,Y3,3,-0.3999523281611973,1.3721655045967588e-39,0.3999523281611973,PC,dataset3_add_x0
Y2,Y3,4,-0.29614519520000987,1.303666206765517e-21,0.29614519520000987,PC,dataset3_add_x0
Y2,Y3,5,-0.21669695803702402,4.878435193469047e-12,0.21669695803702402,PC,dataset3_add_x0
Y2,Y3,6,-0.17638638998353962,2.1681557390898574e-08,0.17638638998353962,PC,dataset3_add_x0
Y2,Y3,7,-0.17286192369597797,4.213462108930732e-08,0.17286192369597797,PC,dataset3_add_x0
Y2,Y3,8,-0.13573316428979076,1.790500854244905e-05,0.13573316428979076,PC,dataset3_add_x0
Y2,Y3,9,-0.14129434637570615,8.015455632149345e-06,0.14129434637570615,PC,dataset3_add_x0
Y2,Y3,10,-0.12172673622478491,0.00012329035516696885,0.12172673622478491,PC,dataset3_add_x0
Y2,Y3,11,-0.11573240802793629,0.0002650570760439442,0.11573240802793629,PC,dataset3_add_x0
Y2,Y5,1,-0.5118491258901264,8.342456592808681e-68,0.5118491258901264,PC,dataset3_add_x0
Y2,Y5,2,-0.5486709273911328,1.583826502230077e-79,0.5486709273911328,PC,dataset3_add_x0
Y2,Y5,3,-0.49866685422861046,8.511074481713964e-64,0.49866685422861046,PC,dataset3_add_x0
Y2,Y5,4,-0.42042640970002737,6.230472863245545e-44,0.42042640970002737,PC,dataset3_add_x0
Y2,Y5,5,-0.35393091957221806,9.831252592812031e-31,0.35393091957221806,PC,dataset3_add_x0
Y2,Y5,6,-0.28370575655025243,7.414773571358878e-20,0.28370575655025243,PC,dataset3_add_x0
Y2,Y5,7,-0.21940895868008714,2.7363894033554334e-12,0.21940895868008714,PC,dataset3_add_x0
Y2,Y5,8,-0.2278220802648256,3.8098035061083164e-13,0.2278220802648256,PC,dataset3_add_x0
Y2,Y5,9,-0.18406411246429924,5.3151041283688135e-09,0.18406411246429924,PC,dataset3_add_x0
Y2,Y5,10,-0.1880906176467002,2.4619080604635494e-09,0.1880906176467002,PC,dataset3_add_x0
Y2,Y5,11,-0.1495260220054488,2.324153572993047e-06,0.1495260220054488,PC,dataset3_add_x0
Y2,Y5,12,-0.12775957030050744,5.643811157508172e-05,0.12775957030050744,PC,dataset3_add_x0
Y3,Y4,12,0.1180101203315776,0.00020108384483236464,0.1180101203315776,PC,dataset3_add_x0
Y3,Y5,1,0.5438672320434698,5.559311179137185e-78,0.5438672320434698,PC,dataset3_add_x0
Y3,Y5,2,0.2967197184041264,9.846625815046746e-22,0.2967197184041264,PC,dataset3_add_x0
Y3,Y5,3,0.2897343561124749,9.81804285064198e-21,0.2897343561124749,PC,dataset3_add_x0
Y3,Y5,4,0.22905642969374,2.5297176710525116e-13,0.22905642969374,PC,dataset3_add_x0
