x1,x2,lag,te_value,method,dataset
Y1,Y3,10,0.07291983243142079,TransferEntropy,dataset2_more_noise
Y1,Y4,1,0.06984041626578628,TransferEntropy,dataset2_more_noise
Y1,Y4,2,0.0763377040445036,TransferEntropy,dataset2_more_noise
Y1,Y4,3,0.07311150658985302,TransferEntropy,dataset2_more_noise
Y1,Y4,4,0.09119453532580923,TransferEntropy,dataset2_more_noise
Y1,Y4,5,0.09422199209532148,TransferEntropy,dataset2_more_noise
Y1,Y4,6,0.08356352873799958,TransferEntropy,dataset2_more_noise
Y1,Y4,7,0.06301531284283152,TransferEntropy,dataset2_more_noise
Y1,Y5,1,0.14878442289129404,TransferEntropy,dataset2_more_noise
Y1,Y5,2,0.26224949179599066,TransferEntropy,dataset2_more_noise
Y1,Y5,3,0.1725988813983456,TransferEntropy,dataset2_more_noise
Y1,Y5,4,0.13361529222486143,TransferEntropy,dataset2_more_noise
Y1,Y5,5,0.1335022215153732,TransferEntropy,dataset2_more_noise
Y1,Y5,6,0.11959491860239667,TransferEntropy,dataset2_more_noise
Y1,Y5,7,0.12902394357355135,TransferEntropy,dataset2_more_noise
Y1,Y5,8,0.10756895581889722,TransferEntropy,dataset2_more_noise
Y1,Y5,9,0.11806797781698573,TransferEntropy,dataset2_more_noise
Y1,Y5,10,0.08416481760468908,TransferEntropy,dataset2_more_noise
Y2,Y3,1,0.42779887030450114,TransferEntropy,dataset2_more_noise
Y2,Y3,2,0.28774890103522566,TransferEntropy,dataset2_more_noise
Y2,Y3,3,0.2305450120626621,TransferEntropy,dataset2_more_noise
Y2,Y3,4,0.15558929916247322,TransferEntropy,dataset2_more_noise
Y2,Y3,5,0.14592951732770873,TransferEntropy,dataset2_more_noise
Y2,Y3,6,0.09253309948156842,TransferEntropy,dataset2_more_noise
Y2,Y3,7,0.07177972079638192,TransferEntropy,dataset2_more_noise
Y2,Y4,6,0.09136046149753452,TransferEntropy,dataset2_more_noise
Y2,Y4,7,0.10864736937126872,TransferEntropy,dataset2_more_noise
Y2,Y4,8,0.10272752662402318,TransferEntropy,dataset2_more_noise
Y2,Y4,9,0.09600767170825647,TransferEntropy,dataset2_more_noise
Y2,Y4,10,0.09332248432914259,TransferEntropy,dataset2_more_noise
Y2,Y4,11,0.08277220198664688,TransferEntropy,dataset2_more_noise
Y2,Y5,1,0.3464814517513782,TransferEntropy,dataset2_more_noise
Y2,Y5,2,0.3648966277969488,TransferEntropy,dataset2_more_noise
Y2,Y5,3,0.2674329495748127,TransferEntropy,dataset2_more_noise
Y2,Y5,4,0.21228734823148332,TransferEntropy,dataset2_more_noise
Y2,Y5,5,0.16831457219798032,TransferEntropy,dataset2_more_noise
Y2,Y5,6,0.12999029257943123,TransferEntropy,dataset2_more_noise
Y2,Y5,7,0.1303316932935068,TransferEntropy,dataset2_more_noise
Y2,Y5,8,0.11274733032447096,TransferEntropy,dataset2_more_noise
Y3,Y4,3,0.08911940274996254,TransferEntropy,dataset2_more_noise
Y3,Y4,4,0.11033163230315153,TransferEntropy,dataset2_more_noise
Y3,Y4,5,0.12061085767623483,TransferEntropy,dataset2_more_noise
Y3,Y4,6,0.10605605935725812,TransferEntropy,dataset2_more_noise
Y3,Y4,7,0.08935885522576653,TransferEntropy,dataset2_more_noise
Y3,Y4,8,0.08351728806597837,TransferEntropy,dataset2_more_noise
Y3,Y4,9,0.0679418659923849,TransferEntropy,dataset2_more_noise
Y3,Y5,1,0.539612098670983,TransferEntropy,dataset2_more_noise
Y3,Y5,2,0.24736427465261465,TransferEntropy,dataset2_more_noise
Y3,Y5,3,0.20447325910979597,TransferEntropy,dataset2_more_noise
Y3,Y5,4,0.20265595529441685,TransferEntropy,dataset2_more_noise
Y3,Y5,5,0.15971142917247422,TransferEntropy,dataset2_more_noise
Y3,Y5,6,0.12130425873301483,TransferEntropy,dataset2_more_noise
Y3,Y5,7,0.11820138547050617,TransferEntropy,dataset2_more_noise
Y3,Y5,8,0.10309101526879894,TransferEntropy,dataset2_more_noise
Y4,Y5,1,0.36123509023439737,TransferEntropy,dataset2_more_noise
Y4,Y5,2,0.1838653608412123,TransferEntropy,dataset2_more_noise
Y4,Y5,3,0.11355183315613712,TransferEntropy,dataset2_more_noise
Y4,Y5,10,0.08011160597580651,TransferEntropy,dataset2_more_noise
Y5,Y2,1,0.06757766276260758,TransferEntropy,dataset2_more_noise
Y5,Y3,1,0.12121377001810918,TransferEntropy,dataset2_more_noise
Y5,Y3,2,0.07060287774502333,TransferEntropy,dataset2_more_noise
Y5,Y4,4,0.06425692591534173,TransferEntropy,dataset2_more_noise
Y0,Y1,2,0.06602223426374297,TransferEntropy,dataset3_add_x0
Y0,Y1,3,0.08740098361715175,TransferEntropy,dataset3_add_x0
Y0,Y1,4,0.10617320512518211,TransferEntropy,dataset3_add_x0
Y0,Y1,5,0.10167049869048092,TransferEntropy,dataset3_add_x0
Y0,Y1,6,0.07861337026457264,TransferEntropy,dataset3_add_x0
Y0,Y2,1,0.481503262805416,TransferEntropy,dataset3_add_x0
Y0,Y2,2,0.5194493537078789,TransferEntropy,dataset3_add_x0
Y0,Y2,3,0.4976416636957581,TransferEntropy,dataset3_add_x0
Y0,Y2,4,0.44358298579240296,TransferEntropy,dataset3_add_x0
Y0,Y2,5,0.3927253686592626,TransferEntropy,dataset3_add_x0
Y0,Y2,6,0.35585893806468977,TransferEntropy,dataset3_add_x0
Y0,Y2,7,0.3119355829734429,TransferEntropy,dataset3_add_x0
Y0,Y2,8,0.2643901382989732,TransferEntropy,dataset3_add_x0
Y0,Y2,9,0.22971046231532521,TransferEntropy,dataset3_add_x0
Y0,Y2,10,0.19926435932319,TransferEntropy,dataset3_add_x0
Y0,Y2,11,0.18827106598486956,TransferEntropy,dataset3_add_x0
Y0,Y2,12,0.1722299731603983,TransferEntropy,dataset3_add_x0
Y0,Y3,1,0.2355014112601765,TransferEntropy,dataset3_add_x0
Y0,Y3,2,0.3950671313560953,TransferEntropy,dataset3_add_x0
Y0,Y3,3,0.42597969101271693,TransferEntropy,dataset3_add_x0
Y0,Y3,4,0.400674917313514,TransferEntropy,dataset3_add_x0
Y0,Y3,5,0.34105250392019765,TransferEntropy,dataset3_add_x0
Y0,Y3,6,0.30990206978939305,TransferEntropy,dataset3_add_x0
Y0,Y3,7,0.2811413906725219,TransferEntropy,dataset3_add_x0
Y0,Y3,8,0.2504594469658094,TransferEntropy,dataset3_add_x0
Y0,Y3,9,0.23371580224124586,TransferEntropy,dataset3_add_x0
Y0,Y3,10,0.2103040981401654,TransferEntropy,dataset3_add_x0
Y0,Y3,11,0.1877241177344942,TransferEntropy,dataset3_add_x0
Y0,Y3,12,0.15621171359537606,TransferEntropy,dataset3_add_x0
Y0,Y5,1,0.22819193548805378,TransferEntropy,dataset3_add_x0
Y0,Y5,2,0.30708358388011725,TransferEntropy,dataset3_add_x0
Y0,Y5,3,0.3992216188303087,TransferEntropy,dataset3_add_x0
Y0,Y5,4,0.37858076872809554,TransferEntropy,dataset3_add_x0
Y0,Y5,5,0.3657662595213996,TransferEntropy,dataset3_add_x0
Y0,Y5,6,0.3194255537116186,TransferEntropy,dataset3_add_x0
Y0,Y5,7,0.31270578057122883,TransferEntropy,dataset3_add_x0
Y0,Y5,8,0.2815068799648776,TransferEntropy,dataset3_add_x0
Y0,Y5,9,0.25669428753324186,TransferEntropy,dataset3_add_x0
Y0,Y5,10,0.2124225595563119,TransferEntropy,dataset3_add_x0
Y0,Y5,11,0.17766833840112045,TransferEntropy,dataset3_add_x0
Y0,Y5,12,0.14928311781763692,TransferEntropy,dataset3_add_x0
Y1,Y0,10,0.0679188119227927,TransferEntropy,dataset3_add_x0
Y1,Y0,11,0.08442555533155693,TransferEntropy,dataset3_add_x0
Y1,Y0,12,0.08752545273210752,TransferEntropy,dataset3_add_x0
Y1,Y3,1,0.2878459996024348,TransferEntropy,dataset3_add_x0
Y1,Y3,2,0.1717353176949129,TransferEntropy,dataset3_add_x0
Y1,Y3,3,0.10382230352530611,TransferEntropy,dataset3_add_x0
Y1,Y3,5,0.07340906060723609,TransferEntropy,dataset3_add_x0
Y1,Y3,6,0.07041238904496226,TransferEntropy,dataset3_add_x0
Y1,Y3,7,0.06599640913990272,TransferEntropy,dataset3_add_x0
Y1,Y4,12,0.06553460338885471,TransferEntropy,dataset3_add_x0
Y1,Y5,1,0.09559882654531973,TransferEntropy,dataset3_add_x0
Y1,Y5,2,0.12744689685130367,TransferEntropy,dataset3_add_x0
Y1,Y5,3,0.07514482717494146,TransferEntropy,dataset3_add_x0
Y2,Y3,1,0.5955187596333553,TransferEntropy,dataset3_add_x0
Y2,Y3,2,0.5030134306822263,TransferEntropy,dataset3_add_x0
Y2,Y3,3,0.3999523281611973,TransferEntropy,dataset3_add_x0
Y2,Y3,4,0.29614519520000987,TransferEntropy,dataset3_add_x0
Y2,Y3,5,0.21669695803702402,TransferEntropy,dataset3_add_x0
Y2,Y3,6,0.17638638998353962,TransferEntropy,dataset3_add_x0
Y2,Y3,7,0.17286192369597797,TransferEntropy,dataset3_add_x0
Y2,Y3,8,0.13573316428979076,TransferEntropy,dataset3_add_x0
Y2,Y3,9,0.14129434637570615,TransferEntropy,dataset3_add_x0
Y2,Y3,10,0.12172673622478491,TransferEntropy,dataset3_add_x0
Y2,Y3,11,0.11573240802793629,TransferEntropy,dataset3_add_x0
Y2,Y3,12,0.0875289844178805,TransferEntropy,dataset3_add_x0
Y2,Y4,3,0.06924296363095246,TransferEntropy,dataset3_add_x0
Y2,Y4,4,0.08351743989840273,TransferEntropy,dataset3_add_x0
Y2,Y4,5,0.08639455706713794,TransferEntropy,dataset3_add_x0
Y2,Y4,6,0.070418937783524,TransferEntropy,dataset3_add_x0
Y2,Y4,7,0.06371164769958018,TransferEntropy,dataset3_add_x0
Y2,Y5,1,0.5118491258901264,TransferEntropy,dataset3_add_x0
Y2,Y5,2,0.5486709273911328,TransferEntropy,dataset3_add_x0
Y2,Y5,3,0.49866685422861046,TransferEntropy,dataset3_add_x0
Y2,Y5,4,0.42042640970002737,TransferEntropy,dataset3_add_x0
Y2,Y5,5,0.35393091957221806,TransferEntropy,dataset3_add_x0
Y2,Y5,6,0.28370575655025243,TransferEntropy,dataset3_add_x0
Y2,Y5,7,0.21940895868008714,TransferEntropy,dataset3_add_x0
Y2,Y5,8,0.2278220802648256,TransferEntropy,dataset3_add_x0
Y2,Y5,9,0.18406411246429924,TransferEntropy,dataset3_add_x0
Y2,Y5,10,0.1880906176467002,TransferEntropy,dataset3_add_x0
Y2,Y5,11,0.1495260220054488,TransferEntropy,dataset3_add_x0
Y2,Y5,12,0.12775957030050744,TransferEntropy,dataset3_add_x0
Y3,Y0,5,0.0648006929868267,TransferEntropy,dataset3_add_x0
Y3,Y2,7,0.07730850053603909,TransferEntropy,dataset3_add_x0
Y3,Y2,12,0.06536658865183119,TransferEntropy,dataset3_add_x0
Y3,Y4,11,0.07238474075154737,TransferEntropy,dataset3_add_x0
Y3,Y4,12,0.1180101203315776,TransferEntropy,dataset3_add_x0
Y3,Y5,1,0.5438672320434698,TransferEntropy,dataset3_add_x0
Y3,Y5,2,0.2967197184041264,TransferEntropy,dataset3_add_x0
Y3,Y5,3,0.2897343561124749,TransferEntropy,dataset3_add_x0
Y3,Y5,4,0.22905642969374,TransferEntropy,dataset3_add_x0
Y3,Y5,5,0.20121338124111593,TransferEntropy,dataset3_add_x0
Y3,Y5,6,0.16466743888828028,TransferEntropy,dataset3_add_x0
Y3,Y5,7,0.17591665148883381,TransferEntropy,dataset3_add_x0
Y3,Y5,8,0.16235314633990142,TransferEntropy,dataset3_add_x0
Y3,Y5,9,0.12885970336454333,TransferEntropy,dataset3_add_x0
Y3,Y5,10,0.12256846006083201,TransferEntropy,dataset3_add_x0
Y3,Y5,11,0.13144457849750865,TransferEntropy,dataset3_add_x0
Y3,Y5,12,0.10012613651818422,TransferEntropy,dataset3_add_x0
Y4,Y1,12,0.07435525871704675,TransferEntropy,dataset3_add_x0
Y4,Y2,5,0.06282198833612859,TransferEntropy,dataset3_add_x0
Y4,Y3,12,0.06915266706640305,TransferEntropy,dataset3_add_x0
Y4,Y5,1,0.31966263144522405,TransferEntropy,dataset3_add_x0
Y4,Y5,2,0.14899153505032356,TransferEntropy,dataset3_add_x0
Y4,Y5,6,0.06559223075784078,TransferEntropy,dataset3_add_x0
Y4,Y5,7,0.0885842116701282,TransferEntropy,dataset3_add_x0
Y4,Y5,8,0.0644938696196041,TransferEntropy,dataset3_add_x0
Y4,Y5,9,0.07775495427632999,TransferEntropy,dataset3_add_x0
Y4,Y5,10,0.07807697349357821,TransferEntropy,dataset3_add_x0
Y4,Y5,11,0.09007488557389852,TransferEntropy,dataset3_add_x0
Y4,Y5,12,0.10987708320216567,TransferEntropy,dataset3_add_x0
Y5,Y3,1,0.20319843572642882,TransferEntropy,dataset3_add_x0
Y5,Y3,2,0.1453094774115144,TransferEntropy,dataset3_add_x0
Y5,Y3,3,0.11780058793286592,TransferEntropy,dataset3_add_x0
Y5,Y3,4,0.07543159544845392,TransferEntropy,dataset3_add_x0
Y5,Y3,5,0.09607945335804077,TransferEntropy,dataset3_add_x0
Y5,Y3,6,0.10162154580459284,TransferEntropy,dataset3_add_x0
Y5,Y3,8,0.06363877472937221,TransferEntropy,dataset3_add_x0
Y5,Y4,10,0.06444561325818329,TransferEntropy,dataset3_add_x0
Y5,Y4,11,0.06964838266326662,TransferEntropy,dataset3_add_x0
Y1,Y2,6,0.07382741221107672,TransferEntropy,dataset4_add_x4a
Y1,Y2,7,0.06898098916088945,TransferEntropy,dataset4_add_x4a
Y1,Y2,8,0.09087471447182842,TransferEntropy,dataset4_add_x4a
Y1,Y2,9,0.095195154837058,TransferEntropy,dataset4_add_x4a
Y1,Y2,10,0.10645118573098684,TransferEntropy,dataset4_add_x4a
Y1,Y2,11,0.08435075723793228,TransferEntropy,dataset4_add_x4a
Y1,Y3,1,0.4428691300409547,TransferEntropy,dataset4_add_x4a
Y1,Y3,2,0.3449511922596217,TransferEntropy,dataset4_add_x4a
Y1,Y3,3,0.27908107503296936,TransferEntropy,dataset4_add_x4a
Y1,Y3,4,0.1964902915849488,TransferEntropy,dataset4_add_x4a
Y1,Y3,5,0.15534471094425295,TransferEntropy,dataset4_add_x4a
Y1,Y3,6,0.16271312267434318,TransferEntropy,dataset4_add_x4a
Y1,Y3,7,0.1256026167108518,TransferEntropy,dataset4_add_x4a
Y1,Y3,8,0.11274768436490346,TransferEntropy,dataset4_add_x4a
Y1,Y3,9,0.11787498225798065,TransferEntropy,dataset4_add_x4a
Y1,Y3,10,0.10116390446706747,TransferEntropy,dataset4_add_x4a
Y1,Y3,11,0.15686502503702496,TransferEntropy,dataset4_add_x4a
Y1,Y3,12,0.10196816861603057,TransferEntropy,dataset4_add_x4a
Y1,Y4,2,0.08150268847208487,TransferEntropy,dataset4_add_x4a
Y1,Y4,3,0.08357571973329646,TransferEntropy,dataset4_add_x4a
Y1,Y4,4,0.09313051094772787,TransferEntropy,dataset4_add_x4a
Y1,Y4,5,0.09608988448429226,TransferEntropy,dataset4_add_x4a
Y1,Y4,6,0.09352171056197699,TransferEntropy,dataset4_add_x4a
Y1,Y4,7,0.10416165830104226,TransferEntropy,dataset4_add_x4a
Y1,Y4,8,0.07315355105977914,TransferEntropy,dataset4_add_x4a
Y1,Y4,12,0.09022742478682566,TransferEntropy,dataset4_add_x4a
Y1,Y5,1,0.14099311597762137,TransferEntropy,dataset4_add_x4a
Y1,Y5,2,0.21682713044342056,TransferEntropy,dataset4_add_x4a
Y1,Y5,3,0.19716315300988546,TransferEntropy,dataset4_add_x4a
Y1,Y5,4,0.15379361782363327,TransferEntropy,dataset4_add_x4a
Y1,Y5,5,0.09751269989174825,TransferEntropy,dataset4_add_x4a
Y1,Y5,6,0.11752577614656252,TransferEntropy,dataset4_add_x4a
Y1,Y5,7,0.1256086906878285,TransferEntropy,dataset4_add_x4a
Y1,Y5,8,0.1178313704064775,TransferEntropy,dataset4_add_x4a
Y1,Y5,9,0.1350550935175656,TransferEntropy,dataset4_add_x4a
Y1,Y5,10,0.11705600520986219,TransferEntropy,dataset4_add_x4a
Y1,Y5,11,0.11149697253165576,TransferEntropy,dataset4_add_x4a
Y1,Y5,12,0.09579391812379083,TransferEntropy,dataset4_add_x4a
Y1,Y4a,3,0.07342268248156557,TransferEntropy,dataset4_add_x4a
Y1,Y4a,4,0.07002144233771956,TransferEntropy,dataset4_add_x4a
Y2,Y3,1,0.5107824949411639,TransferEntropy,dataset4_add_x4a
Y2,Y3,2,0.325031177832154,TransferEntropy,dataset4_add_x4a
Y2,Y3,3,0.24294406305384125,TransferEntropy,dataset4_add_x4a
Y2,Y3,4,0.14955094952366108,TransferEntropy,dataset4_add_x4a
Y2,Y3,5,0.09789766449640566,TransferEntropy,dataset4_add_x4a
Y2,Y3,6,0.07799838196858869,TransferEntropy,dataset4_add_x4a
Y2,Y4,5,0.0649125610390248,TransferEntropy,dataset4_add_x4a
Y2,Y4,6,0.07577894969241288,TransferEntropy,dataset4_add_x4a
Y2,Y4,7,0.08817618088613353,TransferEntropy,dataset4_add_x4a
Y2,Y5,1,0.3577163704798684,TransferEntropy,dataset4_add_x4a
Y2,Y5,2,0.40640444669435,TransferEntropy,dataset4_add_x4a
Y2,Y5,3,0.28668501157640885,TransferEntropy,dataset4_add_x4a
Y2,Y5,4,0.19748474412260547,TransferEntropy,dataset4_add_x4a
Y2,Y5,5,0.12730541132769937,TransferEntropy,dataset4_add_x4a
Y2,Y5,6,0.07890758898606812,TransferEntropy,dataset4_add_x4a
Y2,Y5,7,0.06656698166917209,TransferEntropy,dataset4_add_x4a
Y2,Y5,10,0.06643463432115519,TransferEntropy,dataset4_add_x4a
Y2,Y5,11,0.06863175859607426,TransferEntropy,dataset4_add_x4a
Y3,Y2,6,0.07380601340712953,TransferEntropy,dataset4_add_x4a
Y3,Y2,8,0.09895663471684363,TransferEntropy,dataset4_add_x4a
Y3,Y2,9,0.10646741399801553,TransferEntropy,dataset4_add_x4a
Y3,Y2,11,0.06695647618449989,TransferEntropy,dataset4_add_x4a
Y3,Y4,11,0.06617179825048913,TransferEntropy,dataset4_add_x4a
Y3,Y5,1,0.4784493444338523,TransferEntropy,dataset4_add_x4a
