x1,x2,lag,correlation,p_value,abs_correlation,method,dataset
Y1,Y2,10,-0.10645118573098684,0.000794473511322929,0.10645118573098684,PC,dataset4_add_x4a
Y1,Y3,1,0.4428691300409547,3.081416376899984e-49,0.4428691300409547,PC,dataset4_add_x4a
Y1,Y3,2,0.3449511922596217,2.896752205402285e-29,0.3449511922596217,PC,dataset4_add_x4a
Y1,Y3,3,0.27908107503296936,2.7068545834088415e-19,0.27908107503296936,PC,dataset4_add_x4a
Y1,Y3,4,0.1964902915849488,3.9902265762307195e-10,0.1964902915849488,PC,dataset4_add_x4a
Y1,Y3,5,0.15534471094425295,8.483824506078028e-07,0.15534471094425295,PC,dataset4_add_x4a
Y1,Y3,6,0.16271312267434318,2.4968639644062644e-07,0.16271312267434318,PC,dataset4_add_x4a
Y1,Y3,7,0.1256026167108518,7.226009658455763e-05,0.1256026167108518,PC,dataset4_add_x4a
Y1,Y3,8,0.11274768436490346,0.0003737208907732206,0.11274768436490346,PC,dataset4_add_x4a
Y1,Y3,9,0.11787498225798065,0.0002000039712896692,0.11787498225798065,PC,dataset4_add_x4a
Y1,Y3,10,0.10116390446706747,0.0014365424763372822,0.10116390446706747,PC,dataset4_add_x4a
Y1,Y3,11,0.15686502503702496,7.135725537277105e-07,0.15686502503702496,PC,dataset4_add_x4a
Y1,Y3,12,0.10196816861603057,0.0013300196127980918,0.10196816861603057,PC,dataset4_add_x4a
Y1,Y4,7,0.10416165830104226,0.0010120942167519487,0.10416165830104226,PC,dataset4_add_x4a
Y1,Y5,1,0.14099311597762137,7.707662373143365e-06,0.14099311597762137,PC,dataset4_add_x4a
Y1,Y5,2,0.21682713044342056,4.398056511847092e-12,0.21682713044342056,PC,dataset4_add_x4a
Y1,Y5,3,0.19716315300988546,3.398503559721959e-10,0.19716315300988546,PC,dataset4_add_x4a
Y1,Y5,4,0.15379361782363327,1.0793570197855051e-06,0.15379361782363327,PC,dataset4_add_x4a
Y1,Y5,6,0.11752577614656252,0.00020438089835939858,0.11752577614656252,PC,dataset4_add_x4a
Y1,Y5,7,0.1256086906878285,7.220146535754424e-05,0.1256086906878285,PC,dataset4_add_x4a
Y1,Y5,8,0.1178313704064775,0.0001996129725871764,0.1178313704064775,PC,dataset4_add_x4a
Y1,Y5,9,0.1350550935175656,1.992345056869132e-05,0.1350550935175656,PC,dataset4_add_x4a
Y1,Y5,10,0.11705600520986219,0.00022326509356946993,0.11705600520986219,PC,dataset4_add_x4a
Y1,Y5,11,0.11149697253165576,0.00044320701645039225,0.11149697253165576,PC,dataset4_add_x4a
Y2,Y3,1,-0.5107824949411639,1.7455609345329527e-67,0.5107824949411639,PC,dataset4_add_x4a
Y2,Y3,2,-0.325031177832154,5.483433707919249e-26,0.325031177832154,PC,dataset4_add_x4a
Y2,Y3,3,-0.24294406305384125,7.354510928810434e-15,0.24294406305384125,PC,dataset4_add_x4a
Y2,Y3,4,-0.14955094952366108,2.1318648302849694e-06,0.14955094952366108,PC,dataset4_add_x4a
Y2,Y5,1,-0.3577163704798684,1.5965434933116518e-31,0.3577163704798684,PC,dataset4_add_x4a
Y2,Y5,2,-0.40640444669435,5.607943568531766e-41,0.40640444669435,PC,dataset4_add_x4a
Y2,Y5,3,-0.28668501157640885,2.5744873033951323e-20,0.28668501157640885,PC,dataset4_add_x4a
Y2,Y5,4,-0.19748474412260547,3.2428514194422913e-10,0.19748474412260547,PC,dataset4_add_x4a
Y2,Y5,5,-0.12730541132769937,5.6487944451614154e-05,0.12730541132769937,PC,dataset4_add_x4a
Y3,Y2,9,-0.10646741399801553,0.0007881425869897942,0.10646741399801553,PC,dataset4_add_x4a
Y3,Y5,1,0.4784493444338523,2.767026295131416e-58,0.4784493444338523,PC,dataset4_add_x4a
Y3,Y5,2,0.2287294337977919,2.5942329726316985e-13,0.2287294337977919,PC,dataset4_add_x4a
