source,target,lag,value,p_value,method,dataset
Y1,Y3,1,194.88378240841905,1.392357336642597e-40,Granger,dataset2_more_noise
Y1,Y4,1,5.009464120734729,0.025429444466574223,Granger,dataset2_more_noise
Y1,Y5,1,21.4375112697176,4.138861098110261e-06,Granger,dataset2_more_noise
Y2,Y3,1,226.03636044118022,3.4080991002607308e-46,Granger,dataset2_more_noise
Y2,Y5,1,135.8094273735706,1.6369362454878047e-29,Granger,dataset2_more_noise
Y3,Y5,1,410.4636665705392,1.0820006504163257e-76,Granger,dataset2_more_noise
Y4,Y5,1,148.60358837287373,5.835178445981617e-32,Granger,dataset2_more_noise
Y5,Y2,1,4.176705584363862,0.04124594702273585,Granger,dataset2_more_noise
Y5,Y3,1,13.555654457005968,0.0002440304918641051,Granger,dataset2_more_noise
