source,target,lag,value,p_value,method,dataset
Y1,Y3,1,252.70604574369247,6.980537705238043e-51,Granger,dataset4_add_x4a
Y1,Y5,1,20.660597491914036,6.156292858290795e-06,Granger,dataset4_add_x4a
Y2,Y3,1,353.3353163531353,1.0614420498639241e-67,Granger,dataset4_add_x4a
Y2,Y5,1,147.6779922270483,8.753553192088094e-32,Granger,dataset4_add_x4a
Y3,Y5,1,294.7417840955871,4.540320555239935e-58,Granger,dataset4_add_x4a
Y3,Y4a,1,7.609937690597796,0.005911083820383261,Granger,dataset4_add_x4a
Y4,Y5,1,170.74060633609687,3.957858751908253e-36,Granger,dataset4_add_x4a
Y5,Y3,1,11.757059799508824,0.0006309582498822979,Granger,dataset4_add_x4a
Y4a,Y5,1,54.89850256333875,2.7040924190410973e-13,Granger,dataset4_add_x4a
